1stclosing,2ndclosing,3rdclosing,4thclosing,5thclosing,6thopening
115.42006235025,115.49866629158,115.57727023291,114.9386132096,115.29233094559,115.64604868157
115.49866629158,115.57727023291,114.9386132096,115.29233094559,114.2704797083,113.01281664702
115.57727023291,114.9386132096,115.29233094559,114.2704797083,114.02484239164,112.31520666772
114.9386132096,115.29233094559,114.2704797083,114.02484239164,112.06956935106,111.71585161508
115.29233094559,114.2704797083,114.02484239164,112.06956935106,111.90253597573,111.42108683509
114.2704797083,114.02484239164,112.06956935106,111.90253597573,111.07719459177,111.08702008444
114.02484239164,112.06956935106,111.90253597573,111.07719459177,111.02806712844,110.74312784112
112.06956935106,111.90253597573,111.07719459177,111.02806712844,110.55644348046,110.49749052446
111.90253597573,111.07719459177,111.02806712844,110.55644348046,111.07719459177,111.1852750111
111.07719459177,111.02806712844,110.55644348046,111.07719459177,110.22237672981,111.70602612241
111.02806712844,110.55644348046,111.07719459177,110.22237672981,111.96148893173,111.02806712844
110.55644348046,111.07719459177,110.22237672981,111.96148893173,111.11649656244,109.69180012583
111.07719459177,110.22237672981,111.96148893173,111.11649656244,110.91016121645,112.42328708705
110.22237672981,111.96148893173,111.11649656244,110.91016121645,110.74312784112,112.35450863838
111.96148893173,111.11649656244,110.91016121645,110.74312784112,112.61979694037,111.86323400507
111.11649656244,110.91016121645,110.74312784112,112.61979694037,111.56846922508,111.07719459177
110.91016121645,110.74312784112,112.61979694037,111.56846922508,111.58812021042,113.17985002235
110.74312784112,112.61979694037,111.56846922508,111.58812021042,111.59794570308,113.11107157368
112.61979694037,111.56846922508,111.58812021042,111.59794570308,112.91456172036,111.87305949774
111.56846922508,111.58812021042,111.59794570308,112.91456172036,113.55321874366,106.83258175996
111.58812021042,111.59794570308,112.91456172036,113.55321874366,109.81953153049,105.63387165468
111.59794570308,112.91456172036,113.55321874366,109.81953153049,106.06619333199,100.85868221889
112.91456172036,113.55321874366,109.81953153049,106.06619333199,103.59999467277,102.81395525947
113.55321874366,109.81953153049,106.06619333199,103.59999467277,101.33030586687,105.37840884536
109.81953153049,106.06619333199,103.59999467277,101.33030586687,103.6785986141,105.94828742
106.06619333199,103.59999467277,101.33030586687,103.6785986141,106.46903853131,106.01706586866
103.59999467277,101.33030586687,103.6785986141,106.46903853131,105.82055601534,105.82055601534
101.33030586687,103.6785986141,106.46903853131,105.82055601534,105.85003249333,104.2877791594
103.6785986141,106.46903853131,105.82055601534,105.85003249333,104.86748322671,103.81615551142
106.46903853131,105.82055601534,105.85003249333,104.86748322671,104.24847718874,103.95371240875
105.82055601534,105.85003249333,104.86748322671,104.24847718874,104.15022226208,104.75940280738
105.85003249333,104.86748322671,104.24847718874,104.15022226208,104.95591266071,105.53561672802
104.86748322671,104.24847718874,104.15022226208,104.95591266071,105.0738185727,105.51596574268
104.24847718874,104.15022226208,104.95591266071,105.0738185727,105.69282461068,106.67046113097
104.15022226208,104.95591266071,105.0738185727,105.69282461068,106.14479727332,106.69502486263
104.95591266071,105.0738185727,105.69282461068,106.14479727332,106.95048767195,106.96031316462
105.0738185727,105.69282461068,106.14479727332,106.95048767195,106.6164209213,106.87188373062
105.69282461068,106.14479727332,106.95048767195,106.6164209213,107.45158779793,107.32385639327
106.14479727332,106.95048767195,106.6164209213,107.45158779793,107.17647400328,107.19612498861
106.95048767195,106.6164209213,107.45158779793,107.17647400328,107.3140309006,107.71687609992
106.6164209213,107.45158779793,107.17647400328,107.3140309006,107.47123878326,106.25287769265
107.45158779793,107.17647400328,107.3140309006,107.47123878326,107.56949370993,105.89915995667
107.17647400328,107.3140309006,107.47123878326,107.56949370993,106.29217966332,106.62624641397
107.3140309006,107.47123878326,107.56949370993,106.29217966332,106.04654234666,106.81293077463
107.47123878326,107.56949370993,106.29217966332,106.04654234666,106.11532079532,106.34130712665
107.56949370993,106.29217966332,106.04654234666,106.11532079532,106.91118570129,105.64369714734
106.29217966332,106.04654234666,106.11532079532,106.91118570129,106.47886402397,104.41551056406
106.04654234666,106.11532079532,106.91118570129,106.47886402397,105.60439517668,103.73755157009
106.11532079532,106.91118570129,106.47886402397,105.60439517668,104.02249085742,102.42951208912
106.91118570129,106.47886402397,105.60439517668,104.02249085742,103.38725392527,103.64134869813
106.47886402397,105.60439517668,104.02249085742,103.38725392527,102.10700718511,102.03859705395
105.60439517668,104.02249085742,103.38725392527,102.10700718511,103.64134869813,101.82359378461
104.02249085742,103.38725392527,102.10700718511,103.64134869813,101.84313953637,100.49448266505
103.38725392527,102.10700718511,103.64134869813,101.84313953637,101.9701869228,101.89689035371
102.10700718511,103.64134869813,101.84313953637,101.9701869228,100.6117571756,94.620984261696
103.64134869813,101.84313953637,101.9701869228,100.6117571756,94.47439112351,96.018505512411
101.84313953637,101.9701869228,100.6117571756,94.47439112351,95.129173807411,97.005565976203
101.9701869228,100.6117571756,94.47439112351,95.129173807411,96.419193423456,97.562619901313
100.6117571756,94.47439112351,95.129173807411,96.419193423456,97.171704866148,97.728758791258
94.47439112351,95.129173807411,96.419193423456,97.171704866148,97.689667287742,97.298752252577
95.129173807411,96.419193423456,97.171704866148,97.689667287742,97.60171140483,96.458284926972
96.419193423456,97.171704866148,97.689667287742,97.60171140483,97.562619901313,96.673288196313
97.171704866148,97.689667287742,97.60171140483,97.562619901313,96.536467934005,95.178038186807
97.689667287742,97.60171140483,97.562619901313,96.536467934005,96.546240809884,95.197583938565
97.60171140483,97.562619901313,96.536467934005,96.546240809884,94.669848641092,94.963034917466
97.562619901313,96.536467934005,96.546240809884,94.669848641092,95.207356814444,94.552574130543
96.536467934005,96.546240809884,94.669848641092,95.207356814444,94.777350275762,94.298479357685
96.546240809884,94.669848641092,95.207356814444,94.777350275762,94.484163999389,93.526422163234
94.669848641092,95.207356814444,94.777350275762,94.484163999389,93.760971184333,92.45140581653
